Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z
58,91.36,25.67,395.03,91.36,25.67,392.5
59,95.74,27.06,394.54,95.74,27.06,392.5
60,83.57,27.39,394.7,83.57,27.39,392.5
61,79.19,26,395.32,79.19,26,392.5
62,74.8,24.61,396.28,74.8,24.61,392.5
63,70.42,23.21,397.28,70.42,23.21,392.5
64,66.04,21.82,398.67,66.04,21.82,392.5
65,61.65,20.43,399.91,61.65,20.43,392.5
66,57.27,19.03,401.34,57.27,19.03,392.5
67,52.88,17.64,402.76,52.88,17.64,392.5
68,48.5,16.25,404.11,48.5,16.25,392.5
69,44.12,14.86,405.33,44.12,14.86,392.5
70,42.82,18.57,405.16,42.82,18.57,392.5
71,46,19.82,404.26,46,19.82,392.5
72,49.48,20.76,403.06,49.48,20.76,392.5
73,53.87,22.15,401.65,53.87,22.15,392.5
74,58.25,23.54,400.2,58.25,23.54,392.5
75,62.63,24.94,398.65,62.63,24.94,392.5
76,67.02,26.33,396.99,67.02,26.33,392.5
77,71.4,27.72,395.78,71.4,27.72,392.5
78,75.79,29.11,394.71,75.79,29.11,392.5
79,72.38,32.23,394.49,72.38,32.23,392.5
80,68,30.84,395.78,68,30.84,392.5
81,63.61,29.44,397.32,63.61,29.44,392.5
82,59.23,28.05,398.97,59.23,28.05,392.5
83,54.85,26.66,400.52,54.85,26.66,392.5
84,50.46,25.27,402.12,50.46,25.27,392.5
85,46.08,23.87,403.68,46.08,23.87,392.5
86,42.17,22.65,404.99,42.17,22.65,392.5
87,42.68,26.99,404.56,42.68,26.99,392.5
88,47.06,28.38,402.93,47.06,28.38,392.5
89,51.44,29.78,401.26,51.44,29.78,392.5
90,55.83,31.17,399.66,55.83,31.17,392.5
91,60.21,32.56,397.96,60.21,32.56,392.5
92,64.6,33.95,396.22,64.6,33.95,392.5
93,68.98,35.35,394.93,68.98,35.35,392.5
94,69.96,39.85,394.65,69.96,39.85,392.5
95,65.58,38.46,395.88,65.58,38.46,392.5
96,61.13,36.24,397.5,61.13,36.24,392.5
97,56.75,34.85,399.04,56.75,34.85,392.5
98,52.42,34.28,400.62,52.42,34.28,392.5
99,49.88,33.26,401.63,49.88,33.26,392.5
100,46.99,31.76,402.87,46.99,31.76,392.5
101,43.66,31.5,404.15,43.66,31.5,392.5
102,42.83,34.48,404.76,45.92,35.6,392.5
103,54.8,37.04,399.78,52.95,37.65,392.5
104,59.16,39.38,398.33,57.68,39.86,392.5
105,63.71,41.83,396.93,62.58,42.2,392.5
106,58.48,37.11,398.48,58.48,37.11,392.5
107,61.38,39.49,397.46,61.38,39.49,392.5
108,66.13,41.7,396.14,66.13,41.7,392.5
109,69.7,43.58,395,69.7,43.58,392.5
110,42.1,38.09,404.72,45.17,39.21,392.5
111,43.45,41.76,404.6,46.5,42.85,392.5
112,45.86,46.96,403.82,48.49,45.46,392.5
113,49.1,50.07,402.98,51.54,48.67,392.5
114,53.52,51.67,401.93,55.72,50.42,392.5
115,57.66,53.03,400.92,59.62,51.91,392.5
116,61.82,55.08,399.94,63.55,54.09,392.5
117,67.81,59.51,398.54,69.22,58.7,392.5
118,65.89,57.59,398.96,67.39,56.73,392.5
119,63.58,57.25,399.6,63.58,57.25,392.5
120,59.88,54.78,400.48,59.88,54.78,392.5
121,55.7,53.07,401.48,55.7,53.07,392.5
122,51.08,51.75,402.59,51.08,51.75,392.5
123,46.95,49.37,403.57,46.95,49.37,392.5
124,43.2,48.14,404.73,43.2,48.14,392.5
125,43.02,44.78,404.79,43.02,44.78,392.5
126,41.48,51.99,405.27,41.48,51.99,392.5
127,44.18,52.65,404.68,44.18,52.65,392.5
128,48.56,54.04,403.48,48.56,54.04,392.5
129,52.94,55.43,402.49,52.94,55.43,392.5
130,57.33,56.83,401.42,57.33,56.83,392.5
131,61.71,58.22,400.36,61.71,58.22,392.5
132,64.65,59.28,399.49,64.65,59.28,392.5
133,68.01,61.54,398.65,68.01,61.54,392.5
134,69.89,63.46,398.23,71.33,63.98,392.5
135,69.15,66.09,398.85,69.15,66.09,392.5
136,65.63,63.79,399.54,65.63,63.79,392.5
137,62.69,62.73,400.26,62.69,62.73,392.5
138,58.31,61.34,401.37,58.31,61.34,392.5
139,53.93,59.94,402.46,53.93,59.94,392.5
140,49.54,58.55,403.47,49.54,58.55,392.5
141,45.16,57.16,404.49,45.16,57.16,392.5
142,40.77,55.76,405.47,40.77,55.76,392.5
143,39.52,59.82,405.6,39.52,59.82,392.5
144,41.75,60.27,405.27,41.75,60.27,392.5
145,46.14,61.67,404.21,46.14,61.67,392.5
146,50.52,63.06,403.32,50.52,63.06,392.5
147,54.91,64.45,402.46,54.91,64.45,392.5
148,59.29,65.84,401.47,59.29,65.84,392.5
149,63.67,67.24,400.53,63.67,67.24,392.5
150,68.06,68.63,399.45,68.06,68.63,392.5
151,71.4,70.08,398.56,71.4,70.08,392.5
152,71.38,67.38,398.32,72.85,67.9,392.5
153,73.97,72.65,397.97,75.35,73.15,392.5
154,72.73,74.59,398.35,72.73,74.59,392.5
155,69.04,73.14,399.33,69.04,73.14,392.5
156,64.66,71.75,400.5,64.66,71.75,392.5
157,60.27,70.35,401.68,60.27,70.35,392.5
158,55.89,68.96,402.62,55.89,68.96,392.5
159,51.5,67.57,403.3,51.5,67.57,392.5
160,47.12,66.17,404.11,47.12,66.17,392.5
161,42.74,64.78,405.04,42.74,64.78,392.5
162,39.26,63.67,405.63,39.26,63.67,392.5
163,39.9,68.17,405.54,39.9,68.17,392.5
164,43.72,69.29,404.87,43.72,69.29,392.5
165,48.1,70.68,403.93,48.1,70.68,392.5
166,52.48,72.08,403.22,52.48,72.08,392.5
167,56.87,73.47,402.32,56.87,73.47,392.5
168,61.25,74.86,401.33,61.25,74.86,392.5
169,65.64,76.25,400.24,65.64,76.25,392.5
170,68.58,77.32,399.5,68.58,77.32,392.5
171,70.99,77.93,398.87,70.99,77.93,392.5
172,72.83,77,398.34,74.3,77.53,392.5
173,69.01,80.46,399.29,70.72,81.08,392.5
174,66.08,80.57,400.02,66.08,80.57,392.5
175,62.23,79.37,400.87,62.23,79.37,392.5
176,57.85,77.98,401.82,57.85,77.98,392.5
177,53.47,76.58,402.73,53.47,76.58,392.5
178,49.08,75.19,403.61,49.08,75.19,392.5
179,44.7,73.8,404.44,44.7,73.8,392.5
180,40.31,72.41,405.46,40.31,72.41,392.5
181,39,76.11,405.53,39,76.11,392.5
182,41.29,76.91,405.01,41.29,76.91,392.5
183,45.68,78.31,403.92,45.68,78.31,392.5
184,50.06,79.7,403.07,50.06,79.7,392.5
185,54.45,81.09,402.1,54.45,81.09,392.5
186,58.83,82.49,401.31,58.83,82.49,392.5
187,61.77,83.55,400.63,61.77,83.55,392.5
188,64.5,84.21,399.97,64.5,84.21,392.5
189,66.36,83.22,399.6,68.16,83.86,392.5
190,64.61,86.51,399.58,66.4,87.15,392.5
191,63.09,87.85,399.64,63.09,87.85,392.5
192,59.81,86.99,400.4,59.81,86.99,392.5
193,55.43,85.6,401.41,55.43,85.6,392.5
194,51.04,84.21,402.21,51.04,84.21,392.5
